"ttp"	"description"
"t1037.004"	"adversaries may establish persistence by modifying rc scripts which are executed during a unix-like system’s startup. these files allow system administrators to map and start custom services at startup for different run levels. rc scripts require root privileges to modify.

adversaries can establish persistence by adding a malicious binary path or shell commands to rc.local, rc.common, and other rc scripts specific to the unix-like distribution.citation: iranthreats kittens dec 2017citation: intezer hiddenwasp map 2019 upon reboot, the system executes the script's contents as root, resulting in persistence.

adversary abuse of rc scripts is especially effective for lightweight unix-like distributions using the root user as default, such as iot or embedded systems.citation: intezer-kaiji-malware

several unix-like systems have moved to systemd and deprecated the use of rc scripts. this is now a deprecated mechanism in macos in favor of launchd. citation: apple developer doco archive launchdcitation: startup items this technique can be used on mac os x panther v10.3 and earlier versions which still execute the rc scripts.citation: methods of mac malware persistence to maintain backwards compatibility some systems, such as ubuntu, will execute the rc scripts if they exist with the correct file permissions.citation: ubuntu manpage systemd rc"
"t1134"	"adversaries may modify access tokens to operate under a different user or system security context to perform actions and bypass access controls. windows uses access tokens to determine the ownership of a running process. a user can manipulate access tokens to make a running process appear as though it is the child of a different process or belongs to someone other than the user that started the process. when this occurs, the process also takes on the security context associated with the new token.

an adversary can use built-in windows api functions to copy access tokens from existing processes; this is known as token stealing. these token can then be applied to an existing process i.e. token impersonation/theft or used to spawn a new process i.e. create process with token. an adversary must already be in a privileged user context i.e. administrator to steal a token. however, adversaries commonly use token stealing to elevate their security context from the administrator level to the system level. an adversary can then use a token to authenticate to a remote system as the account for that token if the account has appropriate permissions on the remote system.citation: pentestlab token manipulation

any standard user can use the runas command, and the windows api functions, to create impersonation tokens; it does not require access to an administrator account. there are also other mechanisms, such as active directory fields, that can be used to modify access tokens."
"t1209"	"the windows time service w32time enables time synchronization across and within domains. citation: microsoft w32time feb 2018 w32time time providers are responsible for retrieving time stamps from hardware/network resources and outputting these values to other network clients. citation: microsoft timeprovider

time providers are implemented as dynamic-link libraries dlls that are registered in the subkeys of  hkey_local_machine\\system\\currentcontrolset\\services\\w32time\\timeproviders\\. citation: microsoft timeprovider the time provider manager, directed by the service control manager, loads and starts time providers listed and enabled under this key at system startup and/or whenever parameters are changed. citation: microsoft timeprovider

adversaries may abuse this architecture to establish persistence, specifically by registering and enabling a malicious dll as a time provider. administrator privileges are required for time provider registration, though execution will run in context of the local service account. citation: github w32time oct 2017"
"t1111"	"adversaries may target multi-factor authentication mfa mechanisms, i.e., smart cards, token generators, etc. to gain access to credentials that can be used to access systems, services, and network resources. use of mfa is recommended and provides a higher level of security than user names and passwords alone, but organizations should be aware of techniques that could be used to intercept and bypass these security mechanisms. 

if a smart card is used for multi-factor authentication, then a keylogger will need to be used to obtain the password associated with a smart card during normal use. with both an inserted card and access to the smart card password, an adversary can connect to a network resource using the infected system to proxy the authentication with the inserted hardware token. citation: mandiant m trends 2011

adversaries may also employ a keylogger to similarly target other hardware tokens, such as rsa securid. capturing token input including a user's personal identification code may provide temporary access i.e. replay the one-time passcode until the next value rollover as well as possibly enabling adversaries to reliably predict future authentication values given access to both the algorithm and any seed values used to generate appended temporary codes. citation: gcn rsa june 2011

other methods of mfa may be intercepted and used by an adversary to authenticate. it is common for one-time codes to be sent via out-of-band communications email, sms. if the device and/or service is not secured, then it may be vulnerable to interception. although primarily focused on by cyber criminals, these authentication mechanisms have been targeted by advanced actors. citation: operation emmental"
"t1159"	"per apple’s developer documentation, when a user logs in, a per-user launchd process is started which loads the parameters for each launch-on-demand user agent from the property list plist files found in /system/library/launchagents, /library/launchagents, and $home/library/launchagents citation: appledocs launch agent daemons citation: osx keydnap malware citation: antiquated mac malware. these launch agents have property list files which point to the executables that will be launched citation: osx.dok malware.
 
adversaries may install a new launch agent that can be configured to execute at login by using launchd or launchctl to load a plist into the appropriate directories  citation: sofacy komplex trojan  citation: methods of mac malware persistence. the agent name may be disguised by using a name from a related operating system or benign software. launch agents are created with user level privileges and are executed with the privileges of the user when they log in citation: osx malware detection citation: oceanlotus for os x. they can be set up to execute when a specific user logs in in the specific user’s directory structure or when any user logs in which requires administrator privileges."
"t1027.002"	"adversaries may perform software packing or virtual machine software protection to conceal their code. software packing is a method of compressing or encrypting an executable. packing an executable changes the file signature in an attempt to avoid signature-based detection. most decompression techniques decompress the executable code in memory. virtual machine software protection translates an executable's original code into a special format that only a special virtual machine can run. a virtual machine is then called to run this code.citation: eset finfisher jan 2018 

utilities used to perform software packing are called packers. example packers are mpress and upx. a more comprehensive list of known packers is available, but adversaries may create their own packing techniques that do not leave the same artifacts as well-known packers to evade defenses.citation: awesome executable packing  "
"t1584.007"	"adversaries may compromise serverless cloud infrastructure, such as cloudflare workers or aws lambda functions, that can be used during targeting. by utilizing serverless infrastructure, adversaries can make it more difficult to attribute infrastructure used during operations back to them. 

once compromised, the serverless runtime environment can be leveraged to either respond directly to infected machines or to proxy traffic to an adversary-owned command and control server.citation: blackwater malware cloudflare workerscitation: aws lambda redirector as traffic generated by these functions will appear to come from subdomains of common cloud providers, it may be difficult to distinguish from ordinary traffic to these providers.citation: detecting command & control in the cloudcitation: blackwater malware cloudflare workers"
"t1071.001"	"adversaries may communicate using application layer protocols associated with web traffic to avoid detection/network filtering by blending in with existing traffic. commands to the remote system, and often the results of those commands, will be embedded within the protocol traffic between the client and server. 

protocols such as http and https that carry web traffic may be very common in environments. http/s packets have many fields and headers in which data can be concealed. an adversary may abuse these protocols to communicate with systems under their control within a victim network while also mimicking normal, expected traffic. "
"t1059.005"	"adversaries may abuse visual basic vb for execution. vb is a programming language created by microsoft with interoperability with many windows technologies such as component object model and the native api through the windows api. although tagged as legacy with no planned future evolutions, vb is integrated and supported in the .net framework and cross-platform .net core.citation: vb .net mar 2020citation: vb microsoft

derivative languages based on vb have also been created, such as visual basic for applications vba and vbscript. vba is an event-driven programming language built into microsoft office, as well as several third-party applications.citation: microsoft vbacitation: wikipedia vba vba enables documents to contain macros used to automate the execution of tasks and other functionality on the host. vbscript is a default scripting language on windows hosts and can also be used in place of javascript on html application hta webpages served to internet explorer though most modern browsers do not come with vbscript support.citation: microsoft vbscript

adversaries may use vb payloads to execute malicious commands. common malicious usage includes automating execution of behaviors with vbscript or embedding vba content into spearphishing attachment payloads which may also involve mark-of-the-web bypass to enable execution.citation: default vbs macros blocking "
"t1564.005"	"adversaries may use a hidden file system to conceal malicious activity from users and security tools. file systems provide a structure to store and access data from physical storage. typically, a user engages with a file system through applications that allow them to access files and directories, which are an abstraction from their physical location ex: disk sector. standard file systems include fat, ntfs, ext4, and apfs. file systems can also contain other structures, such as the volume boot record vbr and master file table mft in ntfs.citation: malwaretech vfs nov 2014

adversaries may use their own abstracted file system, separate from the standard file system present on the infected system. in doing so, adversaries can hide the presence of malicious components and file input/output from security tools. hidden file systems, sometimes referred to as virtual file systems, can be implemented in numerous ways. one implementation would be to store a file system in reserved disk space unused by disk structures or standard file system partitions.citation: malwaretech vfs nov 2014citation: fireeye bootkits another implementation could be for an adversary to drop their own portable partition image as a file on top of the standard file system.citation: eset comrat may 2020 adversaries may also fragment files across the existing file system structure in non-standard ways.citation: kaspersky equation qa"
"t1543.002"	"adversaries may create or modify systemd services to repeatedly execute malicious payloads as part of persistence. the systemd service manager is commonly used for managing background daemon processes also known as services and other system resources.citation: linux man-pages: systemd january 2014citation: freedesktop.org linux systemd 29sep2018 systemd is the default initialization init system on many linux distributions starting with debian 8, ubuntu 15.04, centos 7, rhel 7, fedora 15, and replaces legacy init systems including sysvinit and upstart while remaining backwards compatible with the aforementioned init systems.

systemd utilizes configuration files known as service units to control how services boot and under what conditions. by default, these unit files are stored in the /etc/systemd/system and /usr/lib/systemd/system directories and have the file extension .service. each service unit file may contain numerous directives that can execute system commands:

* execstart, execstartpre, and execstartpost directives cover execution of commands when a services is started manually by 'systemctl' or on system start if the service is set to automatically start. 
* execreload directive covers when a service restarts. 
* execstop and execstoppost directives cover when a service is stopped or manually by 'systemctl'.

adversaries have used systemd functionality to establish persistent access to victim systems by creating and/or modifying service unit files that cause systemd to execute malicious commands at system boot.citation: anomali rocke march 2019

while adversaries typically require root privileges to create/modify service unit files in the /etc/systemd/system and /usr/lib/systemd/system directories, low privilege users can create/modify service unit files in directories such as ~/.config/systemd/user/ to achieve user-level persistence.citation: rapid7 service persistence 22june2016"
"t1563.002"	"adversaries may hijack a legitimate user’s remote desktop session to move laterally within an environment. remote desktop is a common feature in operating systems. it allows a user to log into an interactive session with a system desktop graphical user interface on a remote system. microsoft refers to its implementation of the remote desktop protocol rdp as remote desktop services rds.citation: technet remote desktop services

adversaries may perform rdp session hijacking which involves stealing a legitimate user's remote session. typically, a user is notified when someone else is trying to steal their session. with system permissions and using terminal services console, `c:\\windows\\system32\\tscon.exe session number to be stolen`, an adversary can hijack a session without the need for credentials or prompts to the user.citation: rdp hijacking korznikov this can be done remotely or locally and with active or disconnected sessions.citation: rdp hijacking medium it can also lead to remote system discovery and privilege escalation by stealing a domain admin or higher privileged account session. all of this can be done by using native windows commands, but it has also been added as a feature in red teaming tools.citation: kali redsnarf"
"t1136"	"adversaries may create an account to maintain access to victim systems. with a sufficient level of access, creating such accounts may be used to establish secondary credentialed access that do not require persistent remote access tools to be deployed on the system.

accounts may be created on the local system or within a domain or cloud tenant. in cloud environments, adversaries may create accounts that only have access to specific services, which can reduce the chance of detection."
"t1547.013"	"adversaries may modify xdg autostart entries to execute programs or commands during system boot. linux desktop environments that are xdg compliant implement functionality for xdg autostart entries. these entries will allow an application to automatically start during the startup of a desktop environment after user logon. by default, xdg autostart entries are stored within the /etc/xdg/autostart or ~/.config/autostart directories and have a .desktop file extension.citation: free desktop application autostart feb 2006

within an xdg autostart entry file, the type key specifies if the entry is an application type 1, link type 2 or directory type 3. the name key indicates an arbitrary name assigned by the creator and the exec key indicates the application and command line arguments to execute.citation: free desktop entry keys

adversaries may use xdg autostart entries to maintain persistence by executing malicious commands and payloads, such as remote access tools, during the startup of a desktop environment. commands included in xdg autostart entries with execute after user logon in the context of the currently logged on user. adversaries may also use masquerading to make xdg autostart entries look as if they are associated with legitimate programs."
"t1584.004"	"adversaries may compromise third-party servers that can be used during targeting. use of servers allows an adversary to stage, launch, and execute an operation. during post-compromise activity, adversaries may utilize servers for various tasks, including for command and control. instead of purchasing a server or virtual private server, adversaries may compromise third-party servers in support of operations.

adversaries may also compromise web servers to support watering hole operations, as in drive-by compromise."
"t1526"	"an adversary may attempt to enumerate the cloud services running on a system after gaining access. these methods can differ from platform-as-a-service paas, to infrastructure-as-a-service iaas, or software-as-a-service saas. many services exist throughout the various cloud providers and can include continuous integration and continuous delivery ci/cd, lambda functions, azure ad, etc. 

adversaries may attempt to discover information about the services enabled throughout the environment. azure tools and apis, such as the azure ad graph api and azure resource manager api, can enumerate resources and services, including applications, management groups, resources and policy definitions, and their relationships that are accessible by an identity.citation: azure - resource manager apicitation: azure ad graph api

stormspotter is an open source tool for enumerating and constructing a graph for azure resources and services, and pacu is an open source aws exploitation framework that supports several methods for discovering cloud services.citation: azure - stormspottercitation: github pacu"
"t1151"	"adversaries can hide a program's true filetype by changing the extension of a file. with certain file types specifically this does not work with .app extensions, appending a space to the end of a filename will change how the file is processed by the operating system. for example, if there is a mach-o executable file called evil.bin, when it is double clicked by a user, it will launch terminal.app and execute. if this file is renamed to evil.txt, then when double clicked by a user, it will launch with the default text editing application not executing the binary. however, if the file is renamed to ""evil.txt "" note the space at the end, then when double clicked by a user, the true file type is determined by the os and handled appropriately and the binary will be executed citation: mac backdoors are back. 

adversaries can use this feature to trick users into double clicking benign-looking files of any format and ultimately executing something malicious."
"t1018"	"adversaries may attempt to get a listing of other systems by ip address, hostname, or other logical identifier on a network that may be used for lateral movement from the current system. functionality could exist within remote access tools to enable this, but utilities available on the operating system could also be used such as  ping or net view using net.

adversaries may also analyze data from local host files ex: c:\\windows\\system32\\drivers\\etc\\hosts or /etc/hosts or other passive means such as local arp cache entries in order to discover the presence of remote systems in an environment.

adversaries may also target discovery of network infrastructure as well as leverage network device cli commands on network devices to gather detailed information about systems within a network e.g. show cdp neighbors, show arp.citation: us-cert-ta18-106acitation: cisa ar21-126a fivehands may 2021  
"
"t1046"	"adversaries may attempt to get a listing of services running on remote hosts and local network infrastructure devices, including those that may be vulnerable to remote software exploitation. common methods to acquire this information include port and/or vulnerability scans using tools that are brought onto a system.citation: cisa ar21-126a fivehands may 2021   

within cloud environments, adversaries may attempt to discover services running on other cloud hosts. additionally, if the cloud environment is connected to a on-premises environment, adversaries may be able to identify services running on non-cloud systems as well.

within macos environments, adversaries may use the native bonjour application to discover services running on other macos hosts within a network. the bonjour mdnsresponder daemon automatically registers and advertises a host’s registered services on the network. for example, adversaries can use a mdns query such as dns-sd -b _ssh._tcp . to find other systems broadcasting the ssh service.citation: apple doco bonjour descriptioncitation: macos apt activity bradley"
"t1590.001"	"adversaries may gather information about the victim's network domains that can be used during targeting. information about domains and their properties may include a variety of details, including what domains the victim owns as well as administrative data ex: name, registrar, etc. and more directly actionable information such as contacts email addresses and phone numbers, business addresses, and name servers.

adversaries may gather this information in various ways, such as direct collection actions via active scanning or phishing for information. information about victim domains and their properties may also be exposed to adversaries via online or other accessible data sets ex: whois.citation: whoiscitation: dns dumpstercitation: circl passive dns where third-party cloud providers are in use, this information may also be exposed through publicly available api endpoints, such as getuserrealm and autodiscover in office 365 environments.citation: azure active directory reconnaisancecitation: office 265 azure domain availability gathering this information may reveal opportunities for other forms of reconnaissance ex: search open technical databases, search open websites/domains, or phishing for information, establishing operational resources ex: acquire infrastructure or compromise infrastructure, and/or initial access ex: phishing."
"t1518"	"adversaries may attempt to get a listing of software and software versions that are installed on a system or in a cloud environment. adversaries may use the information from software discovery during automated discovery to shape follow-on behaviors, including whether or not the adversary fully infects the target and/or attempts specific actions.

adversaries may attempt to enumerate software for a variety of reasons, such as figuring out what security measures are present or if the compromised system has a version of software that is vulnerable to exploitation for privilege escalation."
"t1538"	"an adversary may use a cloud service dashboard gui with stolen credentials to gain useful information from an operational cloud environment, such as specific services, resources, and features. for example, the gcp command center can be used to view all assets, findings of potential security risks, and to run additional queries, such as finding public ip addresses and open ports.citation: google command center dashboard

depending on the configuration of the environment, an adversary may be able to enumerate more information via the graphical dashboard than an api. this allows the adversary to gain information without making any api requests."
"t1055.005"	"adversaries may inject malicious code into processes via thread local storage tls callbacks in order to evade process-based defenses as well as possibly elevate privileges. tls callback injection is a method of executing arbitrary code in the address space of a separate live process. 

tls callback injection involves manipulating pointers inside a portable executable pe to redirect a process to malicious code before reaching the code's legitimate entry point. tls callbacks are normally used by the os to setup and/or cleanup data used by threads. manipulating tls callbacks may be performed by allocating and writing to specific offsets within a process’ memory space using other process injection techniques such as process hollowing.citation: fireeye tls nov 2017

running code in the context of another process may allow access to the process's memory, system/network resources, and possibly elevated privileges. execution via tls callback injection may also evade detection from security products since the execution is masked under a legitimate process. "
"t1622"	"adversaries may employ various means to detect and avoid debuggers. debuggers are typically used by defenders to trace and/or analyze the execution of potential malware payloads.citation: processhacker github

debugger evasion may include changing behaviors based on the results of the checks for the presence of artifacts indicative of a debugged environment. similar to virtualization/sandbox evasion, if the adversary detects a debugger, they may alter their malware to disengage from the victim or conceal the core functions of the implant. they may also search for debugger artifacts before dropping secondary or additional payloads.

specific checks will vary based on the target and/or adversary, but may involve native api function calls such as isdebuggerpresent and  ntqueryinformationprocess, or manually checking the beingdebugged flag of the process environment block peb. other checks for debugging artifacts may also seek to enumerate hardware breakpoints, interrupt assembly opcodes, time checks, or measurements if exceptions are raised in the current process assuming a present debugger would “swallow” or handle the potential error.citation: hasherezade debugcitation: alkhaser debugcitation: vxunderground debug

adversaries may use the information learned from these debugger checks during automated discovery to shape follow-on behaviors. debuggers can also be evaded by detaching the process or flooding debug logs with meaningless data via messages produced by looping native api function calls such as outputdebugstringw.citation: wardle evilquest partiicitation: checkpoint dridex jan 2021"
"t1036.006"	"adversaries can hide a program's true filetype by changing the extension of a file. with certain file types specifically this does not work with .app extensions, appending a space to the end of a filename will change how the file is processed by the operating system.

for example, if there is a mach-o executable file called evil.bin, when it is double clicked by a user, it will launch terminal.app and execute. if this file is renamed to evil.txt, then when double clicked by a user, it will launch with the default text editing application not executing the binary. however, if the file is renamed to evil.txt  note the space at the end, then when double clicked by a user, the true file type is determined by the os and handled appropriately and the binary will be executed citation: mac backdoors are back.

adversaries can use this feature to trick users into double clicking benign-looking files of any format and ultimately executing something malicious."
"t1547.007"	"adversaries may modify plist files to automatically run an application when a user logs in. when a user logs out or restarts via the macos graphical user interface gui, a prompt is provided to the user with a checkbox to ""reopen windows when logging back in"".citation: re-open windows on mac when selected, all applications currently open are added to a property list file named com.apple.loginwindow.uuid.plist within the ~/library/preferences/byhost directory.citation: methods of mac malware persistencecitation: wardle persistence chapter applications listed in this file are automatically reopened upon the user’s next logon.

adversaries can establish persistence by adding a malicious application path to the com.apple.loginwindow.uuid.plist file to execute payloads when a user logs in."
"t1608.006"	"adversaries may poison mechanisms that influence search engine optimization seo to further lure staged capabilities towards potential victims. search engines typically display results to users based on purchased ads as well as the site’s ranking/score/reputation calculated by their web crawlers and algorithms.citation: atlas seocitation: malwarebytes seo

to help facilitate drive-by compromise, adversaries may stage content that explicitly manipulates seo rankings in order to promote sites hosting their malicious payloads such as drive-by target within search engines. poisoning seo rankings may involve various tricks, such as stuffing keywords including in the form of hidden text into compromised sites. these keywords could be related to the interests/browsing habits of the intended victims as well as more broad, seasonably popular topics e.g. elections, trending news.citation: zscaler seocitation: atlas seo

adversaries may also purchase or plant incoming links to staged capabilities in order to boost the site’s calculated relevance and reputation.citation: malwarebytes seocitation: dfir report gootloader

seo poisoning may also be combined with evasive redirects and other cloaking mechanisms such as measuring mouse movements or serving content based on browser user agents, user language/localization settings, or http headers in order to feed seo inputs while avoiding scrutiny from defenders.citation: zscaler seocitation: sophos gootloader"
"t1550.002"	"adversaries may “pass the hash” using stolen password hashes to move laterally within an environment, bypassing normal system access controls. pass the hash pth is a method of authenticating as a user without having access to the user's cleartext password. this method bypasses standard authentication steps that require a cleartext password, moving directly into the portion of the authentication that uses the password hash.

when performing pth, valid password hashes for the account being used are captured using a credential access technique. captured hashes are used with pth to authenticate as that user. once authenticated, pth may be used to perform actions on local or remote systems.

adversaries may also use stolen password hashes to ""overpass the hash."" similar to pth, this involves using a password hash to authenticate as a user but also uses the password hash to create a valid kerberos ticket. this ticket can then be used to perform pass the ticket attacks.citation: stealthbits overpass-the-hash"
"t1052"	"adversaries may attempt to exfiltrate data via a physical medium, such as a removable drive. in certain circumstances, such as an air-gapped network compromise, exfiltration could occur via a physical medium or device introduced by a user. such media could be an external hard drive, usb drive, cellular phone, mp3 player, or other removable storage and processing device. the physical medium or device could be used as the final exfiltration point or to hop between otherwise disconnected systems."
"t1574.002"	"adversaries may execute their own malicious payloads by side-loading dlls. similar to dll search order hijacking, side-loading involves hijacking which dll a program loads. but rather than just planting the dll within the search order of a program then waiting for the victim application to be invoked, adversaries may directly side-load their payloads by planting then invoking a legitimate application that executes their payloads.

side-loading takes advantage of the dll search order used by the loader by positioning both the victim application and malicious payloads alongside each other. adversaries likely use side-loading as a means of masking actions they perform under a legitimate, trusted, and potentially elevated system or software process. benign executables used to side-load payloads may not be flagged during delivery and/or execution. adversary payloads may also be encrypted/packed or otherwise obfuscated until loaded into the memory of the trusted process.citation: fireeye dll side-loading"
"t1105"	"adversaries may transfer tools or other files from an external system into a compromised environment. tools or files may be copied from an external adversary-controlled system to the victim network through the command and control channel or through alternate protocols such as ftp. once present, adversaries may also transfer/spread tools between victim devices within a compromised environment i.e. lateral tool transfer. 

files can also be transferred using various web services as well as native or otherwise present tools on the victim system.citation: ptsecurity cobalt dec 2016

on windows, adversaries may use various utilities to download tools, such as `copy`, `finger`, and powershell commands such as iexnew-object net.webclient.downloadstring and invoke-webrequest. on linux and macos systems, a variety of utilities also exist, such as `curl`, `scp`, `sftp`, `tftp`, `rsync`, `finger`, and `wget`.citation: t1105_lolbas"
"t1098.002"	"adversaries may grant additional permission levels to maintain persistent access to an adversary-controlled email account. 

for example, the add-mailboxpermission powershell cmdlet, available in on-premises exchange and in the cloud-based service office 365, adds permissions to a mailbox.citation: microsoft - add-mailboxpermissioncitation: fireeye apt35 2018citation: crowdstrike hiding in plain sight 2018 in google workspace, delegation can be enabled via the google admin console and users can delegate accounts via their gmail settings.citation: gmail delegationcitation: google ensuring your information is safe 

adversaries may also assign mailbox folder permissions through individual folder permissions or roles. in office 365 environments, adversaries may assign the default or anonymous user permissions or roles to the top of information store root, inbox, or other mailbox folders. by assigning one or both user permissions to a folder, the adversary can utilize any other account in the tenant to maintain persistence to the target user’s mail folders.citation: remediation and hardening strategies for microsoft 365 to defend against unc2452

this may be used in persistent threat incidents as well as bec business email compromise incidents where an adversary can add additional cloud roles to the accounts they wish to compromise. this may further enable use of additional techniques for gaining access to systems. for example, compromised business accounts are often used to send messages to other accounts in the network of the target business while creating inbox rules ex: internal spearphishing, so the messages evade spam/phishing detection mechanisms.citation: bienstock, d. - defending o365 - 2019"
"t1588.003"	"adversaries may buy and/or steal code signing certificates that can be used during targeting. code signing is the process of digitally signing executables and scripts to confirm the software author and guarantee that the code has not been altered or corrupted. code signing provides a level of authenticity for a program from the developer and a guarantee that the program has not been tampered with.citation: wikipedia code signing users and/or security tools may trust a signed piece of code more than an unsigned piece of code even if they don't know who issued the certificate or who the author is.

prior to code signing, adversaries may purchase or steal code signing certificates for use in operations. the purchase of code signing certificates may be done using a front organization or using information stolen from a previously compromised entity that allows the adversary to validate to a certificate provider as that entity. adversaries may also steal code signing materials directly from a compromised third-party."
"t1126"	"adversaries may remove share connections that are no longer useful in order to clean up traces of their operation. windows shared drive and windows admin shares connections can be removed when no longer needed. net is an example utility that can be used to remove network share connections with the net use \\\\system\\share /delete command. citation: technet net use

"
"t1648"	"adversaries may abuse serverless computing, integration, and automation services to execute arbitrary code in cloud environments. many cloud providers offer a variety of serverless resources, including compute engines, application integration services, and web servers. 

adversaries may abuse these resources in various ways as a means of executing arbitrary commands. for example, adversaries may use serverless functions to execute malicious code, such as crypto-mining malware i.e. resource hijacking.citation: cado security denonia adversaries may also create functions that enable further compromise of the cloud environment. for example, an adversary may use the `iam:passrole` permission in aws or the `iam.serviceaccounts.actas` permission in google cloud to add additional cloud roles to a serverless cloud function, which may then be able to perform actions the original user cannot.citation: rhino security labs aws privilege escalationcitation: rhingo security labs gcp privilege escalation

serverless functions can also be invoked in response to cloud events i.e. event triggered execution, potentially enabling persistent execution over time. for example, in aws environments, an adversary may create a lambda function that automatically adds additional cloud credentials to a user and a corresponding cloudwatch events rule that invokes that function whenever a new user is created.citation: backdooring an aws account similarly, an adversary may create a power automate workflow in office 365 environments that forwards all emails a user receives or creates anonymous sharing links whenever a user is granted access to a document in sharepoint.citation: varonis power automate data exfiltrationcitation: microsoft dart case report 001"
"t1084"	"windows management instrumentation wmi can be used to install event filters, providers, consumers, and bindings that execute code when a defined event occurs. adversaries may use the capabilities of wmi to subscribe to an event and execute arbitrary code when that event occurs, providing persistence on a system. adversaries may attempt to evade detection of this technique by compiling wmi scripts into windows management object mof files .mof extension. citation: dell wmi persistence examples of events that may be subscribed to are the wall clock time or the computer's uptime. citation: kazanciyan 2014 several threat groups have reportedly used this technique to maintain persistence. citation: mandiant m-trends 2015"
"t1160"	"per apple’s developer documentation, when macos and os x boot up, launchd is run to finish system initialization. this process loads the parameters for each launch-on-demand system-level daemon from the property list plist files found in /system/library/launchdaemons and /library/launchdaemons citation: appledocs launch agent daemons. these launchdaemons have property list files which point to the executables that will be launched citation: methods of mac malware persistence.
 
adversaries may install a new launch daemon that can be configured to execute at startup by using launchd or launchctl to load a plist into the appropriate directories citation: osx malware detection. the daemon name may be disguised by using a name from a related operating system or benign software  citation: wirelurker. launch daemons may be created with administrator privileges, but are executed under root privileges, so an adversary may also use a service to escalate privileges from administrator to root.
 
the plist file permissions must be root:wheel, but the script or program that it points to has no such requirement. so, it is possible for poor configurations to allow an adversary to modify a current launch daemon’s executable and gain persistence or privilege escalation."
"t1055.008"	"adversaries may inject malicious code into processes via ptrace process trace system calls in order to evade process-based defenses as well as possibly elevate privileges. ptrace system call injection is a method of executing arbitrary code in the address space of a separate live process. 

ptrace system call injection involves attaching to and modifying a running process. the ptrace system call enables a debugging process to observe and control another process and each individual thread, including changing memory and register values.citation: ptrace man ptrace system call injection is commonly performed by writing arbitrary code into a running process ex: malloc then invoking that memory with ptrace_setregs to set the register containing the next instruction to execute. ptrace system call injection can also be done with ptrace_poketext/ptrace_pokedata, which copy data to a specific address in the target processes’ memory ex: the current address of the next instruction. citation: ptrace mancitation: medium ptrace jul 2018 

ptrace system call injection may not be possible targeting processes that are non-child processes and/or have higher-privileges.citation: bh linux inject 

running code in the context of another process may allow access to the process's memory, system/network resources, and possibly elevated privileges. execution via ptrace system call injection may also evade detection from security products since the execution is masked under a legitimate process. "
"t1027.007"	"adversaries may obfuscate then dynamically resolve api functions called by their malware in order to conceal malicious functionalities and impair defensive analysis. malware commonly uses various native api functions provided by the os to perform various tasks such as those involving processes, files, and other system artifacts.

api functions called by malware may leave static artifacts such as strings in payload files. defensive analysts may also uncover which functions a binary file may execute via an import address table iat or other structures that help dynamically link calling code to the shared modules that provide functions.citation: huntress api hashcitation: ired api hashing

to avoid static or other defensive analysis, adversaries may use dynamic api resolution to conceal malware characteristics and functionalities. similar to software packing, dynamic api resolution may change file signatures and obfuscate malicious api function calls until they are resolved and invoked during runtime.

various methods may be used to obfuscate malware calls to api functions. for example, hashes of function names are commonly stored in malware in lieu of literal strings. malware can use these hashes or other identifiers to manually reproduce the linking and loading process using functions such as `getprocaddress` and `loadlibrary`. these hashes/identifiers can also be further obfuscated using encryption or other string manipulation tricks requiring various forms of deobfuscate/decode files or information during execution.citation: blackhat api packerscitation: drakonia hinvokecitation: huntress api hash"
"t1021.001"	"adversaries may use valid accounts to log into a computer using the remote desktop protocol rdp. the adversary may then perform actions as the logged-on user.

remote desktop is a common feature in operating systems. it allows a user to log into an interactive session with a system desktop graphical user interface on a remote system. microsoft refers to its implementation of the remote desktop protocol rdp as remote desktop services rds.citation: technet remote desktop services 

adversaries may connect to a remote system over rdp/rds to expand access if the service is enabled and allows access to accounts with known credentials. adversaries will likely use credential access techniques to acquire credentials to use with rdp. adversaries may also use rdp in conjunction with the accessibility features or terminal services dll for persistence.citation: alperovitch malware"
"t1037.001"	"adversaries may use windows logon scripts automatically executed at logon initialization to establish persistence. windows allows logon scripts to be run whenever a specific user or group of users log into a system.citation: technet logon scripts this is done via adding a path to a script to the hkcu\\environment\\userinitmprlogonscript registry key.citation: hexacorn logon scripts

adversaries may use these scripts to maintain persistence on a single system. depending on the access configuration of the logon scripts, either local credentials or an administrator account may be necessary. "
